Dissemination Area;dauid;Population;Total population by sex and age groups;Total population by sex and age groups_1;Male, total / 0 to 4 years;Male, total / 5 to 9 years;Male, total / 10 to 14 years;Male, total / 15 to 19 years;Male, total / 20 to 24 years;Male, total / 25 to 29 years;Male, total / 30 to 34 years;Male, total / 35 to 39 years;Male, total / 40 to 44 years;Male, total / 45 to 49 years;Male, total / 50 to 54 years;Male, total / 55 to 59 years;Male, total / 60 to 64 years;Male, total / 65 to 69 years;Male, total / 70 to 74 years;Male, total / 75 to 79 years;Male, total / 80 to 84 years;Male, total / 85 years and over;Total population by sex and age groups_2;Female, total / 0 to 4 years;Female, total / 5 to 9 years;Female, total / 10 to 14 years;Female, total / 15 to 19 years;Female, total / 20 to 24 years;Female, total / 25 to 29 years;Female, total / 30 to 34 years;Female, total / 35 to 39 years;Female, total / 40 to 44 years;Female, total / 45 to 49 years;Female, total / 50 to 54 years;Female, total / 55 to 59 years;Female, total / 60 to 64 years;Female, total / 65 to 69 years;Female, total / 70 to 74 years;Female, total / 75 to 79 years;Female, total / 80 to 84 years;Female, total / 85 years and over;arret
1;24810001;622;625;280;20;5;15;20;20;20;15;15;30;30;25;15;15;15;10;5;5;5;340;15;15;15;30;25;15;10;20;40;30;30;20;15;20;10;15;5;5;5084
2;24810002;406;405;185;5;5;10;10;15;15;10;5;15;25;15;10;10;10;5;5;5;5;220;5;15;10;15;15;20;10;20;15;15;20;5;10;10;10;10;10;10;5084
3;24810003;469;470;220;10;5;15;15;10;10;15;20;10;20;20;20;15;5;15;5;10;5;250;10;15;20;10;10;20;10;15;20;20;25;20;5;10;5;10;15;20;5084
4;24810004;421;420;195;10;20;20;20;10;10;5;5;20;20;15;10;10;10;5;5;0;5;225;10;10;25;20;10;10;10;15;25;20;10;10;15;15;15;5;5;5;5084
5;24810005;511;510;220;10;5;15;15;10;15;5;15;20;15;20;15;15;10;10;15;10;0;295;10;10;15;15;10;10;10;25;25;5;20;25;15;20;25;25;15;15;5084
6;24810006;452;455;205;10;5;5;15;10;20;10;15;20;15;20;10;15;10;5;10;5;10;250;10;15;10;10;20;15;15;10;15;20;20;20;15;10;15;15;15;10;5084
7;24810007;475;475;225;10;10;20;15;20;10;20;15;20;25;10;15;10;5;5;5;5;0;250;5;10;15;15;10;15;15;15;20;25;15;25;10;5;15;20;10;5;5084
8;24810008;545;545;265;15;15;20;20;20;15;15;20;15;30;25;25;15;10;10;10;0;0;275;10;15;15;20;10;15;10;25;30;25;25;20;10;5;10;5;0;5;5084
9;24810009;551;550;265;20;15;20;20;25;20;10;15;20;25;20;25;5;5;5;5;5;5;285;15;10;15;25;20;30;15;20;30;25;25;15;15;20;10;10;0;0;5084
10;24810010;495;495;235;10;15;20;20;15;20;20;20;30;20;10;5;10;10;5;5;0;0;260;20;20;15;20;15;15;25;20;35;15;20;10;15;5;0;5;0;0;5084
